"inscription_desc_4801|s6diceability_desc_51301_1","+0.4x [Critical Multiplier]."
"inscription_desc_4802","+60% [Magazine Size]."
"inscription_desc_4803","+25% [Fire Rate]."
"inscription_desc_4804","+80% [Accuracy], +80% [Stability]."
"inscription_desc_4806","-40% [Reload Speed]."
"inscription_desc_4807","+50% [Total Damage] vs [Burned] Enemies."
"inscription_desc_4808","+50% [Total Damage] vs [Corroded] Enemies."
"inscription_desc_4809","+50% [Total Damage] vs [Shocked] Enemies."
"inscription_desc_4812","On [Kill]: 30% chance to [Refill] 50% of [Magazine]."
"inscription_desc_4815","On [Crit]: 25% chance to instantly Kill a [Normal Enemy]"
"inscription_desc_4816","+1 [Piercing] and +100% [Projectile Speed]."
"inscription_desc_4818","On Reload: +80% [Weapon Damage] for next 2 [Shots]."
"inscription_desc_4819","+100% [Magazine Size], +30% [Reload Time]"
"inscription_desc_4820","+65% [Total Damage] vs Enemies with an [Elemental Debuff]."
"inscription_desc_4821","+100% [Elemental Debuff] Chance."
"inscription_desc_4822","On [Kill]: 50% [Corrosive] Explosion Chance."
"inscription_desc_4824","+40% [Base Damage] but -50% [Accuracy]."
"inscription_desc_4825","+1.2x [Critical Multiplier] but -10% [Fire Rate]."
"inscription_desc_4827","+40% [Total Damage] vs [Elites] and [Bosses]."
"inscription_desc_4828","On [Crit]: +50% [Elemental Debuff] Chance."
"inscription_desc_4829","On [Kill]: 50% chance to [Refill] Magazine."
"inscription_desc_4830","On [Reload]: +3.0x [Critical Multiplier] for next [Shot]."
"inscription_desc_4832","Weapon now deals [Incendiary] Damage."
"inscription_desc_4833","Weapon now deals [Corrosive] Damage."
"inscription_desc_4834","Weapon now deals [Shock] Damage."
"inscription_desc_4835","On [Hit]: Gain +10% [Weapon Damage] (Stacks 20x up to +200%); On [Miss]: Reset Bonus [Weapon Damage]."
"inscription_desc_4836","On [Unequip]: Reload Weapon."
"inscription_desc_4838","(Gemini) Both Weapons combine their [Critical Multiplier] but -50% [Stability]."
"inscription_desc_4839","(Gemini) Both Weapons gain each other's [Elemental Debuff] Chance & Damage Type."
"inscription_desc_4842","(Gemini) Both Weapons combine their [Magazine Size] and gain +25% [Fire Rate]."
"inscription_desc_4843","On 3rd Straight [Crit]: +150% [Lucky Shot Chance] for next 2 [Shots]."
"inscription_desc_4845","+2m [Blast Radius] and +15% [Lucky Shot Chance]."
"inscription_desc_4846|state_desc_32050_1|talent_briefdesc_2035_1|inscription_desc_13038|talent_briefdesc_3315_1|state_desc_32812_1|talent_briefdesc_5428_1|state_desc_33774_1","+20% [Lucky Shot Chance]"
"inscription_desc_4847","+50% [Lucky Shot Chance] but -50% [Stability]."
"inscription_desc_4848","+20% [Projectile Chance]."
